Front,Back,Tags,Type
"What is the complete Azure Disk Encryption (ADE) end-to-end flow including all management considerations?","**6-Step ADE Implementation Flow:**<br><br>**1. Create VM**<br>• Deploy VM using Portal, CLI, or PowerShell<br><br>**2. Create Key Vault**<br>• Provision with -EnabledForDiskEncryption property<br>• Key Vault stores encryption keys and secrets<br><br>**3. Enable ADE via PowerShell**<br>• Use Set-AzVmDiskEncryptionExtension cmdlet<br>• Reference the Key Vault for key management<br><br>**4. Disks Encrypted**<br>• OS/data disks encrypted using BitLocker (Windows) or DM-Crypt (Linux)<br>• Keys managed securely in Key Vault<br><br>**5. Disable/Decrypt (if needed)**<br>• Use ARM template from Azure Quickstart Templates<br>• Recommended method for scale deployments<br><br>**6. Management Interaction**<br>• Manual (PowerShell/Portal) vs ARM template settings can override each other<br>• ARM template enforcement overrides manual changes on deployment<br><br>**Key Exam Point:** Understand interaction between manual and ARM-based encryption management","VM,Encryption,Security,Medium Priority","Flip"
"Compare Azure VM sizes and series - when would you choose each type?","**General Purpose (D, B, Av2):**<br>• Balanced CPU-to-memory ratio<br>• Use for: Web servers, small-medium databases, dev/test environments<br>• B-series: Burstable performance for variable workloads<br><br>**Compute Optimized (F):**<br>• High CPU-to-memory ratio<br>• Use for: Application servers, batch processing, web servers with high traffic<br><br>**Memory Optimized (E, M):**<br>• High memory-to-CPU ratio<br>• Use for: Relational databases, in-memory analytics, SAP applications<br><br>**Storage Optimized (L):**<br>• High disk throughput and IOPS<br>• Use for: Big Data applications, NoSQL databases, data warehousing<br><br>**GPU (N):**<br>• Graphics processing units<br>• Use for: AI/ML training, graphics rendering, video processing<br><br>**High Performance Compute (H):**<br>• Highest performance CPUs<br>• Use for: Scientific computing, simulations, financial modeling<br><br>**Resizing:** Requires VM restart, check target size availability in region/zone","VM,Sizing,Performance,Medium Priority","MCQ"
"What are the differences between Azure Backup and Azure Site Recovery, and when would you use each?","**Azure Backup:**<br>• **Purpose:** Data protection and recovery<br>• **Method:** Agentless VM backup service<br>• **Recovery Types:** File-level, disk-level, full VM restore<br>• **Storage:** Uses Recovery Services Vault<br>• **Scheduling:** Point-in-time recovery with retention policies<br>• **Use Case:** Operational backup, accidental deletion, corruption recovery<br><br>**Azure Site Recovery (ASR):**<br>• **Purpose:** Business continuity and disaster recovery<br>• **Method:** VM replication to another region or on-premises<br>• **Recovery Types:** Full application stack failover/failback<br>• **Storage:** Replicates to target location<br>• **Timing:** Near real-time replication<br>• **Use Case:** Regional disasters, planned/unplanned failovers, business continuity<br><br>**Key Difference:** Backup = Point-in-time data recovery | ASR = Continuous availability and disaster recovery","VM,Backup,Disaster Recovery,Medium Priority","MCQ"
"Explain VM disk types and optimal caching strategies for different workloads.","**Disk Types:**<br>• **Standard HDD:** Dev/test environments, backup storage (high latency, low cost)<br>• **Standard SSD:** Better latency than HDD, web applications, light workloads<br>• **Premium SSD:** Production workloads, databases, high IOPS requirements<br>• **Ultra Disk:** Highest performance, SAP HANA, SQL Server, dynamic performance tuning<br><br>**Disk Caching Strategies:**<br>• **OS Disk:** Read/Write caching (default and recommended)<br>• **Data Disk Options:**<br>  - None: Direct disk access, high write workloads<br>  - ReadOnly: Best for SQL Server data files, read-heavy workloads<br>  - ReadWrite: Balanced workloads, file servers<br><br>**Temp Disk Characteristics:**<br>• SSD storage on physical host<br>• Use for page files, swap files, tempdb<br>• Data lost on: VM deallocate, resize, host failure<br>• Not suitable for persistent data storage<br><br>**Performance Limits:** Each disk type has IOPS and throughput limits per disk and per VM","VM,Storage,Performance,Medium Priority","Flip"
"Compare App Service Plan scaling methods: Scale Up vs Scale Out, and when to use each.","**Scale Up (Vertical Scaling):**<br>• **Action:** Change Pricing Tier/SKU (B1→S1, P1V2→P2V2)<br>• **Effect:** More CPU, memory, disk space, features per instance<br>• **Impact:** Causes application restart during change<br>• **Use When:** Need more processing power per instance, additional features<br><br>**Scale Out (Horizontal Scaling):**<br>• **Action:** Increase/decrease instance count<br>• **Effect:** Distribute load across more/fewer VM instances<br>• **Impact:** No downtime for existing instances (new ones added)<br>• **Methods:** Manual adjustment or automatic (autoscale rules)<br><br>**Critical Exam Concept:**<br>You scale the **App Service Plan**, not individual Web Apps<br>All apps in the plan share the scaled resources<br><br>**Autoscale Requirements:**<br>• Available in Standard, Premium, Isolated tiers<br>• Rules-based (CPU, memory, queue length, schedule)<br>• Instance limits: minimum, maximum, default<br><br>**Cost Impact:** Scale Up increases per-instance cost | Scale Out increases total cost through more instances","App Service,Scaling,Performance,Medium Priority","MCQ"
"What are deployment slots in App Service, their configuration options, and slot-specific settings?","**Deployment Slots Overview:**<br>• Live apps for staging and testing before production<br>• Each slot has its own hostname (e.g., myapp-staging.azurewebsites.net)<br>• Available in Standard, Premium, Isolated tiers only<br><br>**Slot Operations:**<br>1. **Deploy** new version to non-production slot<br>2. **Test** thoroughly in staging environment<br>3. **Swap** staging and production slots<br>4. **Rollback** by swapping again if needed<br><br>**Slot-Specific Settings:**<br>• **Connection Strings:** Different databases for staging vs production<br>• **App Settings:** Environment variables, API keys, feature flags<br>• **Configuration:** Mark as 'Deployment slot setting' to prevent swapping<br>• **Purpose:** Maintain environment isolation and prevent data exposure<br><br>**Swap Process Benefits:**<br>• Azure warms up staging slot instances before swap<br>• Zero or minimal downtime<br>• Automatic rollback capability<br>• Configuration stickiness for environment-specific settings<br><br>**Auto-Swap:** Automatically swap to production after deployment completion","App Service,Deployment Slots,Medium Priority","Flip"
"Describe VM Network Interface (NIC) configuration rules and IP addressing options.","**NIC Configuration Rules:**<br>• VM requires ≥1 NIC to connect to VNet/subnet<br>• **Primary NIC:** Cannot delete without deleting VM, contains default gateway<br>• **Secondary NICs:** Depend on VM size, used for network appliances/routing<br>• Can associate Public/Private IPs and NSGs with NICs<br><br>**Private IP Addressing:**<br>• **Dynamic (Default):** Azure assigns from subnet range automatically<br>• **Static (Recommended for servers):** Fixed IP within subnet range<br>• Assigned from VNet subnet address space<br><br>**Public IP Addressing:**<br>• **Purpose:** Enable inbound/outbound internet connectivity<br>• **SKUs:** Basic (older) or Standard (zone-redundant, secure by default)<br>• **Assignment:** Dynamic (Basic only) or Static (recommended)<br>• **DNS Label:** Optional, creates FQDN for Public IP<br><br>**Network Security Groups (NSGs):**<br>• Filter traffic with allow/deny rules<br>• Priority range: 100-4096 (lower number = higher priority)<br>• Can attach to NICs or subnets<br>• Default rules: AllowVNetInbound, DenyAllInbound, AllowInternetOutbound","VM,Networking,Medium Priority","MCQ"
"Compare Azure Monitor, Application Insights, and Log Analytics - when would you use each?","**Azure Monitor (Platform Level):**<br>• **Data Sources:** Platform metrics (CPU, memory, network, disk)<br>• **Scope:** Infrastructure and resource-level monitoring<br>• **Alerts:** Metric-based alerts and log query alerts<br>• **Use Case:** Infrastructure monitoring, resource health, basic alerting<br><br>**Application Insights (Application Level):**<br>• **Data Sources:** Application performance, requests, dependencies, exceptions<br>• **Scope:** Deep application performance monitoring (APM)<br>• **Requirements:** Code instrumentation or auto-instrumentation<br>• **Features:** Request tracking, dependency mapping, performance traces<br>• **Use Case:** Application performance optimization, user experience monitoring<br><br>**Log Analytics (Data Platform):**<br>• **Purpose:** Centralized log storage and analysis<br>• **Query Language:** KQL (Kusto Query Language)<br>• **Data Sources:** Multiple services via Diagnostic Settings<br>• **Workspace:** Shared environment for multiple data sources<br>• **Use Case:** Log aggregation, custom queries, compliance reporting<br><br>**Integration:** All three services work together for comprehensive observability","Monitoring,Observability,Medium Priority","Flip"
"Compare Container services: Container Apps vs ACI vs AKS vs App Service - when to use each?","**Container Apps:**<br>• **Best For:** Microservices, serverless containers, event-driven apps<br>• **Management:** Serverless (no infrastructure)<br>• **Scaling:** Auto-scale including scale to zero<br>• **Use Case:** Modern cloud-native applications<br><br>**Azure Container Instances (ACI):**<br>• **Best For:** Simple containers, batch jobs, CI/CD agents<br>• **Management:** Minimal (container groups)<br>• **Scaling:** Manual scaling only (delete/redeploy)<br>• **Use Case:** Simple workloads, temporary tasks<br><br>**Azure Kubernetes Service (AKS):**<br>• **Best For:** Complex orchestration, enterprise microservices<br>• **Management:** Full Kubernetes control and complexity<br>• **Scaling:** Advanced (HPA, VPA, KEDA, cluster autoscaler)<br>• **Use Case:** Production Kubernetes workloads, complex applications<br><br>**App Service (Containers):**<br>• **Best For:** Web applications, REST APIs (containerized)<br>• **Management:** Managed platform (PaaS)<br>• **Scaling:** Auto and manual scaling<br>• **Use Case:** Web apps with custom runtime requirements<br><br>**Decision Factors:** Complexity needs, scaling requirements, management overhead preference","Containers,Comparison,Medium Priority","MCQ"
"Explain custom domain and SSL certificate configuration in App Service.","**Custom Domain Configuration:**<br>• **DNS Records Required:**<br>  - CNAME record for www subdomain (www.domain.com → app.azurewebsites.net)<br>  - A record for apex/root domain (domain.com → App Service IP)<br>  - awverify TXT record for domain validation<br><br>**SSL/TLS Certificate Options:**<br><br>**App Service Managed Certificates:**<br>• Free SSL certificates for custom domains<br>• Automatically managed and renewed by Azure<br>• Limitation: Not available for apex domains (some exceptions with aliasing)<br><br>**Upload Your Own Certificate:**<br>• Import PFX certificates purchased from Certificate Authority<br>• Import from Azure Key Vault<br>• Support for both SNI SSL and IP SSL bindings<br><br>**SSL Binding Types:**<br>• **SNI SSL:** Multiple SSL certificates on same IP (modern browsers)<br>• **IP SSL:** Dedicated IP for certificate (legacy support)<br><br>**Availability:** Custom domains and SSL require Basic tier or higher<br>**Security:** HTTPS redirection can be enforced for all traffic","App Service,SSL,DNS,Medium Priority","Flip"
"What are the different VM state operations and their billing implications?","**Start:**<br>• **Action:** Powers on the virtual machine<br>• **Billing:** Compute charges apply (CPU, memory billing starts)<br>• **State:** VM ready for RDP/SSH connections<br>• **IP:** Retains same private IP, public IP if static<br><br>**Stop (OS Shutdown):**<br>• **Action:** Operating system shutdown only<br>• **Billing:** Compute charges CONTINUE (still allocated to host)<br>• **State:** VM allocated but not running<br>• **IP:** Retains all IP assignments<br><br>**Stop (Deallocate):**<br>• **Action:** Releases CPU, memory, and host allocation<br>• **Billing:** Compute charges STOP (only storage charges remain)<br>• **State:** VM completely deallocated<br>• **IP:** Private IP retained, public IP may change if dynamic<br><br>**Restart:**<br>• **Action:** Reboot the virtual machine<br>• **Billing:** Brief interruption, then continues compute billing<br>• **State:** Clean restart of OS<br><br>**Delete:**<br>• **Action:** Removes VM completely<br>• **Default:** Also deletes OS disk and NICs (configurable)","VM,State Management,Billing,Medium Priority","MCQ"
"What are Azure autoscale rules, triggers, and best practices for implementation?","**Common Autoscale Triggers:**<br>• **CPU Percentage:** Scale out >70%, scale in <30% (most common)<br>• **Memory Percentage:** Available on newer VM generations (DS v3+)<br>• **Network In/Out:** Monitor bandwidth utilization patterns<br>• **Queue Metrics:** Service Bus queue length, Storage Queue depth<br>• **Schedule-based:** Business hours, predictable traffic patterns<br>• **Custom Metrics:** Application Insights counters, Log Analytics KQL queries<br><br>**Best Practices:**<br>• **Cool-down Period:** 5+ minutes between scale operations to avoid thrashing<br>• **Instance Limits:** Set appropriate minimum, maximum, and default values<br>• **Multiple Rules:** Combine metric-based and schedule-based rules<br>• **Health Monitoring:** Use health probes to ensure scaled instances are healthy<br><br>**Autoscale Requirements:**<br>• Available in Standard, Premium, Isolated App Service Plan tiers<br>• VMSS supports both uniform and flexible orchestration modes<br>• Load balancer integration for traffic distribution<br><br>**Scaling Patterns:** Predictable (schedule-based) vs Reactive (metric-based) vs Proactive (predictive)","Scaling,Autoscale,Best Practices,Medium Priority","Flip"
"Compare VNet Integration vs Private Endpoints in App Service - purposes and implementation.","**VNet Integration (Outbound Connectivity):**<br>• **Purpose:** Enable App Service to make outbound calls to VNet resources<br>• **Direction:** FROM App Service TO VNet resources<br>• **Access:** VMs, Private Endpoint-enabled PaaS services, Key Vault, databases<br>• **Requirements:** Dedicated subnet delegated to Microsoft.Web/serverFarms (/28 or larger recommended)<br>• **Scope:** Regional - App Service must be in same region as VNet<br>• **Limitation:** Non-transitive across VNet peerings<br><br>**Private Endpoints (Inbound Connectivity):**<br>• **Purpose:** Provide private inbound access TO App Service<br>• **Direction:** FROM VNet TO App Service<br>• **Result:** App Service gets private IP within VNet<br>• **Benefit:** No public internet exposure for App Service<br>• **Security:** Traffic doesn't traverse public internet<br>• **Integration:** Works with VNet, on-premises via ExpressRoute/VPN<br><br>**Key Distinction:** VNet Integration = Outbound only | Private Endpoints = Inbound only<br><br>**Combined Usage:** Use both together for complete private connectivity (App Service ↔ VNet resources)","App Service,Networking,Security,VNet,Medium Priority","MCQ"
"Compare Infrastructure as Code options: ARM Templates vs Bicep vs Terraform.","**ARM Templates (Azure Resource Manager):**<br>• **Format:** Declarative JSON templates<br>• **Scope:** Azure-native, first-party solution<br>• **Features:** Idempotent deployments, resource dependencies<br>• **Deployment:** Portal, CLI (az deployment group create), PowerShell<br>• **Benefits:** Native Azure integration, comprehensive resource support<br>• **Drawbacks:** JSON complexity, verbose syntax<br><br>**Bicep:**<br>• **Format:** Domain Specific Language (DSL) with cleaner syntax<br>• **Relationship:** Transpiles to ARM JSON templates<br>• **Benefits:** Simpler syntax, modular design, type safety<br>• **Deployment:** Same as ARM (uses ARM APIs behind scenes)<br>• **Scope:** Azure-specific, Microsoft-developed<br>• **Migration:** Easy migration from existing ARM templates<br><br>**Terraform:**<br>• **Format:** HashiCorp Configuration Language (HCL)<br>• **Scope:** Multi-cloud (Azure, AWS, GCP, on-premises)<br>• **State Management:** Requires state file management<br>• **Benefits:** Multi-cloud consistency, mature ecosystem<br>• **Provider:** Uses Azure provider (azurerm)<br><br>**Key Point:** All three achieve Infrastructure as Code with different approaches and complexity levels","IaC,ARM,Bicep,Terraform,Medium Priority","MCQ"
"What are Azure Storage account types, their capabilities, and appropriate use cases?","**General Purpose v2 (GPv2) - Recommended:**<br>• **Services:** Blobs, Files, Queues, Tables<br>• **Access Tiers:** Hot, Cool, Archive for cost optimization<br>• **Features:** All storage services, lifecycle management, versioning<br>• **Use Case:** Most scenarios, comprehensive storage needs<br><br>**General Purpose v1 (GPv1) - Legacy:**<br>• **Limitation:** Classic deployment model, limited features vs GPv2<br>• **Migration:** Should upgrade to GPv2 for better features<br>• **Use Case:** Legacy applications (migrate to GPv2 recommended)<br><br>**Premium Performance:**<br>• **Page Blobs:** High IOPS, low latency for VM disks<br>• **File Shares:** High-performance file storage<br>• **Block Blobs:** High-throughput scenarios<br>• **Use Case:** Performance-critical workloads<br><br>**FileStorage:**<br>• **Specialization:** Premium file shares only<br>• **Performance:** High IOPS and throughput for file workloads<br>• **Use Case:** High-performance file sharing scenarios<br><br>**Key Decision Factors:** Performance requirements, services needed, access patterns, cost optimization","Storage,Account Types,Low Priority","MCQ"
"Provide examples of blob lifecycle management policies and their business use cases.","**Common Lifecycle Patterns:**<br><br>**Data Aging Policy:**<br>• Hot → Cool after 30 days of no access (cost optimization)<br>• Cool → Archive after 90 days in Cool tier (long-term storage)<br>• Delete blobs after 365 days (compliance retention)<br><br>**Log Management Policy:**<br>• Application logs → Cool after 7 days<br>• Log archives → Archive after 30 days<br>• Delete logs after 2555 days (7 years compliance)<br><br>**Backup Retention Policy:**<br>• Recent backups → Hot for 30 days (quick restore)<br>• Monthly backups → Cool for 12 months<br>• Yearly backups → Archive for 7 years<br>• Delete after retention period expires<br><br>**Development Lifecycle:**<br>• Build artifacts → Cool after 90 days<br>• Old build artifacts → Delete after 180 days<br>• Version snapshots → Archive after 365 days<br><br>**Business Benefits:**<br>• **Cost Optimization:** Automatic tier transitions reduce storage costs<br>• **Compliance:** Automated retention and deletion policies<br>• **Management:** Reduces manual storage administration<br>• **Performance:** Keeps frequently accessed data in hot tier","Storage,Lifecycle Management,Automation,Low Priority","Flip"
"Compare Azure Files vs Azure File Sync - use cases and implementation scenarios.","**Azure Files (Cloud-Native):**<br>• **Type:** Fully managed file shares in the cloud<br>• **Protocols:** SMB 2.1, SMB 3.0, NFS 4.1 (preview)<br>• **Access:** Direct cloud access from anywhere<br>• **Authentication:** Azure AD, on-premises AD, storage account keys<br>• **Use Cases:** Cloud-first applications, file sharing across cloud VMs, application data<br><br>**Azure File Sync (Hybrid Solution):**<br>• **Type:** Hybrid file storage bridging on-premises and cloud<br>• **Architecture:** On-premises Windows Server + Azure Files synchronization<br>• **Cloud Tiering:** Frequently accessed files local, infrequent files in cloud<br>• **Cache:** Local server acts as cache for cloud file share<br>• **Benefits:** Centralized management, distributed access, cloud backup<br><br>**When to Use Azure Files:**<br>• Cloud-native applications<br>• Simple file sharing requirements<br>• No on-premises infrastructure<br><br>**When to Use File Sync:**<br>• Hybrid environments with on-premises servers<br>• Need local performance with cloud scalability<br>• Gradual cloud migration scenarios<br>• Multiple office locations needing shared files","Storage,File Sync,Hybrid,Low Priority","MCQ"
